id,商品タイトル,商品紹介,サイズ・容量,規格,出荷条件,良品返品,注文について,JANコード,url
177,ピアス / 6-49  ◆ Silver925 シルバー  ピアス クロス CZ キュービックジルコニア　N-501,「愛と調和のシンボル」 クロス,■サイズ(最大値)： 約2.2×6.5mm(厚み×幅)■全長： 7.5mm,■材質： Silver925 シルバー （ロジウムメッキ加工）■石名： CZ（キュービックジルコニア）　┗　ピアス一覧はコチラから,平日14:00までのご注文は即日発送いたします。,不可,取引申請が必要です,,https://www.netsea.jp/shop/428810/6-49
178,桜模様 アクリルビーズ 21種類 20mm×30mm / 15mm×20mm,,,,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/578452/ar07-g1-2
179,桜模様 花模様 アクリルビーズ しずく型 円柱型,,,,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/578452/ar18ar19
180,桜模様 アクリルビーズ オーバル 20mm×30mm 17種類,,,,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/578452/ar08ar09-g1
181,無地 ビキニ Bikini セパレートビキニ レディース 人気水着 夏新作,無地 ビキニ Bikini セパレートビキニ レディース 人気水着 パッド付き セクシー 夏新作 海水浴 温泉旅行,"■素材：ポリアミド繊維
■原産国：中国
■カラー：1号～4号
■サイズ：S～L",,２万円以上送料無料！ご入金確認後3-5営業日以内商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/580809/YY190450Y3
182,チェック柄 ビキニ Bikini 人気水着 セパレートビキニ 夏新作 レディース,チェック柄 ビキニ Bikini 人気水着 セパレートビキニ 夏新作 レディース セクシー 海水浴 温泉旅行,"■素材：ポリアミド繊維
■原産国：中国
■カラー：画像の通り
■サイズ：S～L",,２万円以上送料無料！ご入金確認後3-5営業日以内商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/580809/YY190452Y3
183,バタフライ 蝶 ボールペン 水性ボールペン 中性ボールペン 黒インク,バタフライ 蝶 ボールペン 水性ボールペン 中性ボールペン 黒インク 創意文具 プレゼント おしゃれ,"■素材：プラスチック
■原産国：中国
■カラー：色ランダム
■インキ色：ブラック
■サイズ：長さ約170mm
■ボール径：0.5mm",,２万円以上送料無料！ご入金確認後3-5営業日以内商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/580809/WG18270Y3
184,合体昆虫プラモデル,,■パッケージサイズ：110x110x30ｍｍ,■色種類：5種アソート,欠品中を除き、3営業日以内に出荷いたします。 (銀行振込みの場合はご入金確認後の出荷となります),不可,取引申請が必要です,4580323645363,https://www.netsea.jp/shop/622124/4580323645363
185,白猫LEDライト,,■本体サイズ：Ф40ｘ120ｍｍ,■色種類：4色アソート■電池：ボタン式電池3個使用（付属）,欠品中を除き、3営業日以内に出荷いたします。 (銀行振込みの場合はご入金確認後の出荷となります),不可,取引申請が必要です,4580323644250,https://www.netsea.jp/shop/622124/4580323644250
186,韓国パール入り粘土,,ディスプイ箱 H210×W285×D60mm容器サイズ H25×φ60mm,カラー 全6色(ピンク・紫・緑・青・黄・透明)　素材：PVA/PS,欠品中を除き、3営業日以内に出荷いたします。 (銀行振込みの場合はご入金確認後の出荷となります),不可,取引申請が必要です,4580323646,https://www.netsea.jp/shop/622124/JAN4580323646506
187,sflhw2718◆5000以上【送料無料】◆金属チャーム◆クリアパーツ　幾何模様,アクセサリー　パーツ　材料　ハンドメイド　資材　素材 　部品　手芸用品,,,■■■最小ロット注文数量に満たしていない場合、ご注文は削除されますので、ご注意ください。■■■,不可,取引申請が必要です,2718,https://www.netsea.jp/shop/296628/sflhw2718
188,vnsh000563★5000以上送料0円★ネイルパーツ★デコパーツ   マーブル　ラインストーン,存在感抜群のパーツ　クラッシュシェル　ネイル　,,,5000円以上【送料無料】※沖縄・離島除く、同梱OK,不可,取引申請が必要です,000563,https://www.netsea.jp/shop/296628/vnsh000563
189,vnsh000564★5000以上送料0円★ネイルパーツ★デコパーツ   マーブル　ラインストーン,存在感抜群のパーツ　クラッシュシェル　ネイル　,,,5000円以上【送料無料】※沖縄・離島除く、同梱OK,不可,取引申請が必要です,000564,https://www.netsea.jp/shop/296628/vnsh000564
190,【2019新作】インナーショーツ☆レディース水着用【ベージュ/ブラック/ビキニ/水泳/マリンスポーツ】,,フリーサイズ 腰周り：60cm～74cm,生産地：中国 製造年：2019年,翌営業日出荷（午前9時までの注文は当日出荷を心がけております）,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/3017/MZ187
191,【2019新作】ブラック総レースレディース水着【フリル/ワンピース水着/体型カバー/オールインワン】,,バスト：約69cmアンダーバスト：約64cm ウエスト：約62cm,生産地：中国 製造年：2019年,翌営業日出荷（午前9時までの注文は当日出荷を心がけております）,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/3017/MZ188
192,【水着】KIDS☆千鳥格子ワンピース水着【ジュニア/ガールズ/女の子/コサージュ/スイミング】,,・3(80-90)着丈(スカート)39cm　胴回り46cm　ヒップ48cm　肩-股43cm・4(90-100)着丈(スカート)41cm　胴回り49cm　ヒップ52cm　肩-股45cm・5(110)着丈(スカート)44cm　胴回り50cm　ヒップ52cm　肩-股47cm・6(120)着丈(スカート)46cm　胴回り53cm　ヒップ56cm　肩-股50cm・7(130)着丈(スカート)48cm　胴回り56cm　ヒップ59cm　肩-股53cm・帽子(共通)　頭回り45cm画像のトルソーは6（120サイズ）を着用しています。,生産地：中国 製造年：2019年,翌営業日出荷（午前9時までの注文は当日出荷を心がけております）,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/3017/MZK044
193,【売り切れごめん】ワイワイボールプールテント 2種アソート,,Ф110XH37.5cm,ポリエステル、ポリエチレン,3営業日以内,不可,取引申請が必要です,,https://www.netsea.jp/shop/5113/LKS-0509
194,【売り切れごめん】国産 抗菌消臭シート　１５×２０ｃｍ（家庭用）,ゴミ箱に貼るだけ・置くだけ　消臭・抗菌シート。効果は持続,15ｘ20ｃｍ,"ポリエステルフェルト（アースプラス加工）
ナイロン・アクリル粘着・紙セパ",3営業日以内,不可,取引申請が必要です,,https://www.netsea.jp/shop/5113/FL-0509
195,【売り切れごめん】グルーミンググローブ,この時期にピッタリの商品です！,"約24ｃｍｘ18ｃｍ(右手用)
本体　約55ｇ",,3営業日以内,不可,取引申請が必要です,,https://www.netsea.jp/shop/5113/FL-05091
196,2019春夏新作★  ラッシュガードZIPパーカー ssd2105b,プールにビーチにアウトドアの必須『サマーラッシュガード』,●モデルデータYUUUKI(180cm/59kg) 着用サイズ：M●SIZE：M/L/XL着丈：65/68/69cm身幅：47/49/52cm裄丈：84/87/87cmSIZE：M/L/XL着丈：66/68/70cm身幅：49/51/53cm裄丈：84/87/88cm,●素材　ポリエステル 95％ポリウレタン 5％,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/18246/62105
197,2019春夏新作★  ラッシュガードZIPパーカー ssd2105b,プールにビーチにアウトドアの必須『サマーラッシュガード』,●モデルデータYUUUKI(180cm/59kg) 着用サイズ：M●SIZE：M/L/XL着丈：65/68/69cm身幅：47/49/52cm裄丈：84/87/87cmSIZE：M/L/XL着丈：66/68/70cm身幅：49/51/53cm裄丈：84/87/88cm,●素材　ポリエステル 95％ポリウレタン 5％,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/18246/62106
198,2019春夏新作★  アロハシャツ,2019年さらに注目度の高いトレンドシャツ『アロハシャツ』,●モデルデータYUUUKI(180cm/59kg) 着用サイズ：M●SIZE：M/L/LL着丈：69/72/75cm身幅：51/53/55cm肩幅：46/47/48cm袖丈：21/21/21cmアームホール：23/24.5/26cm,●素材　レーヨン 100％,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/18246/62095
199,【５月１０日入荷決定】トイストーリー　まんまるフラッシュヨーヨー,,"【商品サイズ】直径7cm(ゴムヒモ含めず)
【ＪＡＮコード】4510133274569
【梱包形態】12個で化粧箱入り",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/185766/sy2791
200,【５月１０日入荷決定】トイストーリー　ビッグトートバッグ,,"【商品サイズ】50×40×10cm
【ＪＡＮコード】451013274118
【梱包形態】1個1個OPP袋入り",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/185766/sy2737
201,【５月１０日入荷決定】プリンセス　2wayバッグ,,"【商品サイズ】31×39cm
【ＪＡＮコード】4510133274651
【梱包形態】1個1個OPP袋入り/12個で大きい袋入り",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/185766/sy2797
202,★大人気★鞄やキーホルダーストラップ★キーホルダー★かわいい★,★大人気★鞄やキーホルダーストラップ★キーホルダー★かわいい★,■商品の色:画像どおり。■サイズ：11.6*6cm,■素材：合金、その他。■原産国:中国。,ご入金確認後5営業日以内で商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/395962/N1961
203,★大人気★鞄やキーホルダーストラップ★キーホルダー★かわいい★,★大人気★鞄やキーホルダーストラップ★キーホルダー★かわいい★,■商品の色:画像どおり。,■素材：合金、その他。■原産国:中国。,ご入金確認後5営業日以内で商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/395962/N1962
204,創意文具★手帳飾り★手帳シール★貼紙★DIYシール★アルバムシール★手紙アクセサリー★貼り付ける,創意文具★手帳飾り★手帳シール★貼紙★DIYシール★アルバムシール★手紙アクセサリー★貼り付ける,■商品の色:画像どおり。,■素材：PVC/その他。■生産地：中国。,ご入金確認後5営業日以内で商品を配送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/395962/A1574
205,レディース 二つ折り財布 多機能 大容量 復古風PUレザー カード入れ シンプル 高級 小銭入れ 薄型 軽量,手触りの良い高品質なPU皮を使用した、軽くて柔らかく、スリムな財布です。,"■コメント
手触りの良い高品質なPU皮を使用した、軽くて柔らかく、スリムな財布です。
熟練している職人技術で、丁寧な縫製をして、最善の製品に仕 上がっております。
◆抜群の収納力：札入れ×3・カード入れ×5・写真入れ×1・ファスナー付きの小銭入れ×1箇所になり。
シンプルで使いやすいデザインです。お札、カード、レシート、5.5インチまでスマートフォンなど余裕で入ります。
たくさん収納出来る大容量で、とても便利です。 
マグネットで、開閉も楽になります。 
豊富な9色からお選び頂けます。
■サイズ(約cm)商品画像に記載■カラー商品画像に記載■素材PU■重さ約100g■生産国中国
■出荷について
発送方法：宅配便


■注意事項
※採寸方法違いより、多少の誤差がございますので、ご了承ください。 ※海外輸入品のため、商品の仕様は予告なく変更になる場合がございます。交換/返品対象外になりますので、ご了承下さい。 ※製品にメーカータグ、洗濯表示、サイズタグ等が無いものがありますが不良ではございません、ご了承くださいませ。 ※撮影時のライティング、ご覧になっているモニター・PC環境により実際の商品と色味が異なって見える場合がございます。 ご了承の上お買い求め下さい。※小物やアクセサリー等、コーディネイト用に使用したアイテムは参考商品です。 商品には含まれませんのでご了承下さい。",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/528133/wallet016
206,レディース 二つ折り財布 取り外し可能カードケース付き 札入れ 小銭入れ 多機能 大収納,高品質PUレザーを採用し、肌触りがいいだけではなく、耐久性にも優れています。,"■コメント
高品質PUレザーを採用し、肌触りがいいだけではなく、耐久性にも優れています。
美しさと頑丈さを兼ね備えた高級感がある
取り外し可能カードケース付き、身軽に出かけたいときや小さなバッグにも簡単に収納できます。
手提げ紐付き、持ち運びが便利です。
◆抜群の収納力：札入れ×2・カード入れ×9・写真入れ×2・ファスナー付きの小銭入れ×1箇所になり。
シンプルで使いやすいデザインです。お札、カード、レシート、スマートフォンなど余裕で入ります。
たくさん収納出来る大容量で、とても便利です。 
スナップボタンで、開閉も楽になります。 
豊富な6色からお選び頂けます。
■サイズ(約cm)商品画像に記載■カラー商品画像に記載■素材PU■重さ約150g■生産国中国
■出荷について
発送方法：宅配便


■注意事項
※採寸方法違いより、多少の誤差がございますので、ご了承ください。 ※海外輸入品のため、商品の仕様は予告なく変更になる場合がございます。交換/返品対象外になりますので、ご了承下さい。 ※製品にメーカータグ、洗濯表示、サイズタグ等が無いものがありますが不良ではございません、ご了承くださいませ。 ※撮影時のライティング、ご覧になっているモニター・PC環境により実際の商品と色味が異なって見える場合がございます。 ご了承の上お買い求め下さい。※小物やアクセサリー等、コーディネイト用に使用したアイテムは参考商品です。 商品には含まれませんのでご了承下さい。",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/528133/wallet017
207,レディース 夏 編み麦わら  2way かごバッグ ショルダーバッグ クラッチバッグ フリンジ付,持っているだけで可愛いカゴクラッチバッグが登場！,"■コメント 
持っているだけで可愛いカゴクラッチバッグが登場！ 
オシャレに遊び心たっぷりで、毎日がHAPPYに 
ショルダーバッグとして、またクラッチバッグとして2wayでお楽しみ頂けます。 
トレンドのフリンジがイマドキなアイテムですね。  
シンプルだけど目を引くデザインでオシャレで使いやすさも抜群なアイテムです 
ショルダー付きでいろんなシーンで使えちゃいます 
軽量、持ち運び簡単。 携帯電話、サングラス、財布、化粧品、その他の日用品を収納できます。  
夏のビーチ、ショッピング、パーティー、デート、旅行などに適しています。
■サイズ(約cm)約29cm×20cm■カラー商品画像に記載■素材麦わら／ポリエステル■裏地あり■内ポケットなし■生産国中国
■出荷について
発送方法：宅配便


■注意事項について
※採寸方法違いより、多少の誤差がございますので、ご了承ください。 ※海外輸入品のため、商品の仕様は予告なく変更になる場合がございます。交換/返品対象外になりますので、ご了承下さい。 ※製品にメーカータグ、洗濯表示、サイズタグ等が無いものがありますが不良ではございません、ご了承くださいませ。 ※撮影時のライティング、ご覧になっているモニター・PC環境により実際の商品と色味が異なって見える場合がございます。 ご了承の上お買い求め下さい。※小物やアクセサリー等、コーディネイト用に使用したアイテムは参考商品です。 商品には含まれませんのでご了承下さい。",,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/528133/bag087
208,特恵！！！★激安！！！★★★★欧米風★ネックレス★アクセサリー　,2018年新作★同梱でお買得★欧米風★精巧模造ダイヤネックレス★フリンジ多層★OL★アクセサリー　,■参考サイズ：画像通り   ■カラー：画像通り,■素材：合金　　  ■P.P袋入り ■原産国： 中国,ご入金確認後5日以内商品を発送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/539554/PP2769
209,特恵！！！★激安！！！★★★★欧米風★ネックレス★アクセサリー　,2018年新作★同梱でお買得★欧米風★精巧模造ダイヤネックレス★フリンジ多層★OL★アクセサリー　,■参考サイズ：画像通り   ■カラー：画像通り,■素材：合金　　  ■P.P袋入り ■原産国： 中国,ご入金確認後5日以内商品を発送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/539554/PP2770
210,特恵！！！★激安！！！★★★★欧米風★ネックレス★アクセサリー　,2018年新作★同梱でお買得★欧米風★精巧模造ダイヤネックレス★フリンジ多層★OL★アクセサリー　,■参考サイズ：画像通り   ■カラー：画像通り,■素材：合金　　  ■P.P袋入り ■原産国： 中国,ご入金確認後5日以内商品を発送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/539554/PP2771
211,ツートンサンダル（ジュニア）　,レジャーに最適,"サイズ：Ｓ（18～19ｃｍ）　Ｍ（20～21ｃｍ）
1足ＯＰＰ袋入　
サイズハンガー付",材質：ＥＶＡ樹脂,営業日含め3日～7日以内に出荷,不可,取引申請が必要です,4966840252633,https://www.netsea.jp/shop/570979/4966840252633
212,ツートンサンダル（レディース）　,レジャーに最適,"サイズ：Ｓ（22～23ｃｍ）　Ｍ（24～251ｃｍ）
1足ＯＰＰ袋入　
サイズハンガー付",材質：ＥＶＡ樹脂,営業日含め3日～7日以内に出荷,不可,取引申請が必要です,4966840252640,https://www.netsea.jp/shop/570979/4966840252640
213,ツートンサンダル（メンズ）　,レジャーに最適,"サイズ：Ｓ（22～23ｃｍ）　Ｍ（24～251ｃｍ）
1足ＯＰＰ袋入　
サイズハンガー付",材質：ＥＶＡ樹脂,営業日含め3日～7日以内に出荷,不可,取引申請が必要です,4966840252657,https://www.netsea.jp/shop/570979/4966840252657
214,ペーパーxテープハンドルかごバッグ　COOCO,2019Spring&Summer　新作,"■生産地：中国
■素材・成分：素材
表地：分類外繊維(紙)100％
付属：ポリエステル100％
裏地：ポリエステル100％
サイズ：W30cm/H23cm/D15cm　
ハンドル立ち上がり：15cm",Made in China,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/619787/19131-12009
215,バンブーハンドルブレードトートバッグ　COOCO,2019Spring&Summer　新作,"素材
本体：ポリプロピレン100％    
付属：合成皮革      
裏地：ポリエステル100％
 
本体サイズ：W24/H24/D15cm
ハンドル立ち上がり：12cm",Made in China,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/619787/19131-12027
216,テープハンドルかごバッグCOOCO,,"本体サイズ：W28/H22/D12cm
口開きサイズ：29cm
ハンドル立ち上がり：7.5cm 
■素材・成分：
表地：天然草木（ガマ）
付属：綿
裏地：ポリエステル",Made in China,3営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/619787/18131-12067
217,【即納】【ヘア】★2019春夏新作★全3タイプ！パール付きヘアクリップ［kgf0435］,レディー感UP♪上品リッチなデザインがヘアスタイルを美しく飾るヘアクリップ♪,●全3タイプ！パール付きヘアクリップ●レディー感UP♪上品リッチなデザインがヘアスタイルを美しく飾るヘアクリップ♪●デイリーからオフィス、ドレススタイルまで幅広くマッチする、優秀アイテム♪[ヘアクリップ]   ※MADE IN CHINA(中国製),中国製,,不可,取引申請が必要です,,https://www.netsea.jp/shop/39640/kgf0435
218,【即納】【ヘア】★2019春夏新作★全4タイプ！3本1セットヘアクリップセット［kgf0436］,デザインや種類の異なるヘアアクセが3本1セットになったお得なアイテムが登場♪,●全4タイプ！3本1セットヘアクリップセット●デザインや種類の異なるヘアアクセが3本1セットになったお得なアイテムが登場♪●デイリーはもちろん、オフィスやパーティーシーンでのヘアスタイルにも映える、エレガントな逸品です。●1本使いはもちろん、重ね付けもオススメ◎気品溢れるパールと、大人っぽく高見えするゴールドカラーが顔まわりを華やかに飾ります。[ヘアクリップ][ヘアピン]    ※MADE IN CHINA(中国製),中国製,,不可,取引申請が必要です,,https://www.netsea.jp/shop/39640/kgf0436
219,【即日出荷】 ベビードールとTバック セクシーランジェリー【8925】,kms　ワンピース ショーツ Tバック,"セット内容：ワンピースTバックショーツ

フリーサイズ（約cm）
丈83
バスト～84
ウエスト～78

・透けます
・ストレッチあり
・首チャイナボタン開閉可

※注意事項：ディスプレイ画面等の環境上、ページと実際の商品の色・型とは多少違う場合がございます。サイズ表記に付きましてはあくまで目安とさせて頂きます。輸入品のため、糸のほつれ・多少の汚れのある場合状態のもの等は返品対象外となります。",,即納,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/66948/8925
220,【即納】 黒金 ボディコン ワンピース セクシーランジェリー  【8930】,ch コスプレ衣装 コスチューム ドレス ワンピース キャバドレス　,"セット内容：ワンピースＭサイズ  平置き実寸（約cm）総丈72バスト〜84ウエスト〜74全体的伸縮性あり
バックファスナー仕様
色：ブラック



 ※注意事項：生産時期により仕様が変更される場合が御座います。 ディスプレイ画面等の環境上、ページと実際の商品の色・型とは多少違う場合がございます。実寸はメジャー採寸の為、1～3cm誤差が生じる場合があります。輸入品のため、シワ・縫製甘い・糸のほつれ・多少の汚れ・色移りのある場合状態のもの等は返品対象外となります。",,即納,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/66948/8930
221,タオルシーツ_ジャガード織シングルサイズ１４０×２５０cm（日本製）,心地よい眠りをつくる、ジャガード織りにサラッとした感触の日本製タオルシーツ,"サイズ　約１４０ｃｍ×２５０ｃｍ 

シングルサイズです。

納品形態：１枚袋入です

 重量　約７５０ｇ 

 綿１００％
 
原産国　日本製","タオルシーツは保水性にすぐれ優しい肌触りです。
 
洗濯の際は出来るだけ漂白剤の入った洗剤はお避け下さい。",受注翌日から３日～４日後の発送,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/79841/761425
222,タオルシーツ_ジャガード織（ダブルサイズ）１８０×２７０cm（日本製）,心地よい眠りをつくる、ジャガード織りにサラッとした感触の日本製タオルシーツ,"サイズ　約１８０ｃｍ×２７０ｃｍ 

ダブルサイズです。

納品形態：１枚袋入です

 重量　約１３５０ｇ 

 綿１００％
 
原産国　日本製","タオルシーツは保水性にすぐれ優しい肌触りです。
 
洗濯の際は出来るだけ漂白剤の入った洗剤はお避け下さい。",受注翌日から３日～４日後の発送,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/79841/761300
223,iPhoneXR用ドライフラワーケースカバー,ドライフラワーを散りばめた可愛いクリアカバー,対応：iPhoneXR用 素材：花、TPU、ポリカーボネイト,,３営業日以内,不可,取引申請が必要です,,https://www.netsea.jp/shop/244356/MICF61
224,iPhoneXS MAX用ドライフラワーケースカバー,ドライフラワーを散りばめた可愛いクリアカバー,対応：iPhoneXS MAX用 素材：花、TPU、ポリカーボネイト,,３営業日以内,不可,取引申請が必要です,,https://www.netsea.jp/shop/244356/MICFL65
225,【E-6】ドロスト とろみ サテン フレア ロング スカート,【E-6】ドロスト とろみ サテン フレア ロング スカート,参考サイズ：【M】着丈：90cmウエスト：30.5cm(ゴム有)参考サイズ：【L】着丈：92cmウエスト：32cm(ゴム有),素材：【表地】ポリエステル100%【裏地】ポリエステル100%≪備考≫伸縮性：なし透け感：なし生地の厚さ：やや薄手肌ざわり：さらっとしているその他：とろみ感のある素材ほんのり光沢感あり,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/259797/6001199
226,【V-1】エコレザー 合皮 サスペンダー付き とろみ フレア スカート,【V-1】エコレザー 合皮 サスペンダー付き とろみ フレア スカート,参考サイズ：M着丈：96cmウエスト：35cm(ゴム有)裾幅：110cmヒップ：62cmサスペンダー：(最短)32cm(最長)35cm,素材：【表地】ポリエステル100%【裏地】ポリエステル100%【サスペンダー】合成皮革≪備考≫伸縮性：なし透け感：なし生地の厚さ：やや薄手肌ざわり：さらっとしているその他：サスペンダー部分→合皮身頃→落ち感のある《とろみ素材》,,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/259797/6001200
227,【ＩＭＰ】Ｔ／Ｃフライス深Ｖネック半袖Ｔシャツ,襟元を男らしくみせる深Ｖネックデザイン,■サイズ■(平置き：着丈/身幅/肩幅/袖丈)[Ｓ]62/41/39/18[Ｍ]64/44/40/19[Ｌ]66/47/41/20[ＸＬ]68/50/42/21※表記サイズの単位/cm,■素材■ポリエステル65% 綿35%,,不可,取引申請が必要です,,https://www.netsea.jp/shop/263996/97843
228,【ＩＭＰ】Ｔ／Ｃフライス七分袖Ｔシャツ,【定番】多色展開☆選べるＵorＶネックＴシャツ◎,【サイズ】(平置き:着丈/身幅/肩幅/袖丈)[Ｓ]62/42/37/42[Ｍ]64/45/39/43[Ｌ]65/46/41/44[ＸＬ]67/49/44/45  身長168cm / 体重56kg / Ｓサイズ着用,【素材】ポリエステル65％・綿35％,,不可,取引申請が必要です,,https://www.netsea.jp/shop/263996/95183
229,★ボールペン★ステーショナリー★スラスラ書く★シンプル★中性ペン★かわいい★,新作★アルパカボールペン★ステーショナリー★スラスラ書く★シンプル★中性ペン★かわいい★多色,■芯：0.5mm、ブラック、ブルー■カラー：ランダム,■材質：プラスチック　 ■生産地：中国,ご入金確認後5日以内商品を発送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/295345/JP3011
230,★ボールペン★ステーショナリー★スラスラ書く★シンプル★中性ペン★かわいい★,新作★アルパカボールペン★ステーショナリー★スラスラ書く★シンプル★中性ペン★かわいい★多色,■芯：0.5mm、ブラック、ブルー■カラー：ランダム,■材質：プラスチック　 ■生産地：中国,ご入金確認後5日以内商品を発送いたします。,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/295345/JP3012
231,ネックバンドタイプBluetoothイヤホン【BTear001WH】Bluetooth5.0対応！スマホなどと簡単&安定接続！,ネックバンドタイプBluetoothイヤホン【BTear001WH】Bluetooth5.0対応！スマホなどと簡単&安定接続！,,,特価品のため、ご希望数量を出荷できない場合があります。その場合、送料をサービスいたします。,不可,取引申請が必要です,4589859788698,https://www.netsea.jp/shop/309688/20190424-000005
232,ネックバンドタイプBluetoothイヤホン【BTear001BK】Bluetooth5.0対応！スマホなどと簡単&安定接続！,ネックバンドタイプBluetoothイヤホン【BTear001BK】Bluetooth5.0対応！スマホなどと簡単&安定接続！,,,特価品のため、ご希望数量を出荷できない場合があります。その場合、送料をサービスいたします。,不可,取引申請が必要です,4589859788681,https://www.netsea.jp/shop/309688/20190424-000003
233,春新作 リボンショルダーバッグ 【即納】 鞄 バッグ ショルダー リボン ミニバッグ コンパクト,,,,即納商品の場合３営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/330998/19ssbacn509
234,春新作 ティアードスカート ma 【即納】 ボトムス スカート ウエストゴム ティアード,,,,即納商品の場合３営業日以内,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/330998/19ssbocn427
235,帽子 ハット メンズ レディース HAT バケットハット サファリハット アウトドア 刺繍 キーズ Keys,折り畳んでバッグに入れて持ち歩けるので便利です,サイズ：58.5cm,素材：コットン,翌営業日出荷,不可,取引申請が必要です,,https://www.netsea.jp/shop/343705/KSH181
236,帽子 ハット メンズ レディース HAT バケットハット サファリハット アウトドア HolidayA.M. キーズ Keys,折り畳んでバッグに入れて持ち歩けるので便利です,サイズ：58.5cm,素材：コットン,翌営業日出荷,不可,取引申請が必要です,,https://www.netsea.jp/shop/343705/KSH182
237,スヌーピー 3脚チェア,便利な折り畳みチェア,31×31×H38cm,"■生産地：中国
■素材・成分：ポリエステル、ポリプロピレン、スチール",一週間程度,不可,取引申請が必要です,4589521223649,https://www.netsea.jp/shop/395734/4589521223649
238,スヌーピー フィッシングチェア,便利な折り畳みチェア,24×21×H26cm,"■生産地：中国
■素材・成分：ポリエステル、ポリプロピレン、スチール",一週間程度,不可,取引申請が必要です,4589521223632,https://www.netsea.jp/shop/395734/4589521223632
239,ディズニーハンディ扇風機,猛暑の必需品！,"■本体サイズ：W105mm×H210mm
■仕様
2種アソート（ご指定はお受けいたしかねます）
USB充電（USBコード付き）
ストラップ付属。
強風モード約2時間、弱風モード約2.5時間、微風約3時間
3段階切り替え付き。",,3営業日以内に発送手配予定（お振込の場合は、ご入金確認後5営業日以内）,可能,会員のみ注文が可能です,4562272024000,https://www.netsea.jp/shop/426507/4562272024000
240,くまさんせんぷうき,猛暑の必需品！,"■本体サイズ：W100mm×H195mm×D45mm
■仕様：ライト用の電池内臓。交換はできません。また、電池不良であっても、交換、ご返品はお受けいたしかねます。",,3営業日以内に発送手配予定（お振込の場合は、ご入金確認後5営業日以内）,可能,会員のみ注文が可能です,4903680136341,https://www.netsea.jp/shop/426507/4903680136341
241,ステンレスタンブラー４５０ｍｌ　スヌーピー・アリエル・トイストーリー,・スヌーピー・アリエル・トイストーリー　4種,,,入金確認後商品確保　５月中旬入荷　入荷次第発送,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/454103/s201905091200
242,夢きゃわ！ユニコーンぽんぽんＢＣ　　　　,・ユニコーンマスコット　第2弾,,,入金確認後商品確保　５月中旬入荷　入荷次第発送,不可,会員のみ注文が可能です,,https://www.netsea.jp/shop/454103/s201905091210
